CyaniteTaggingExport_AubinHuet_050821;;;;;;;;;;;;
FILE NAME;DURATION;KEY;MOST SIGNIFICANT PART;ALL MOOD MEANS - Gives information about the average mood mix and the presence of all moods in the song.;MOODS (MOST DOMINANT);VALENCE;AROUSAL;ENERGY LEVEL;EMOTIONAL PROFILE;ENERGY DYNAMICS;EMOTIONAL DYNAMICS;KEYWORDS - these keywords can be customized as part of our „Keyword Cleaning”
6 Études de concert, Op. 35 - 2. Automne.mp3.mp3;412;Bb minor;270 - 300;Sad : 0.66, Calm : 0.53, Romantic : 0.52, Dark : 0.50, Chilled : 0.48, Spherical : 0.37, Epic : 0.28, Scary : 0.19, Energetic : 0.13, Happy : 0.11, Aggressive : 0.04, Uplifting : 0.04, Sexy : 0.02;calm, romantic, sad;-0.68;-0.39;low;negative;medium;low;calm, classical, chilled, moderate, romantic, tender, sad, sentimental, soft, smooth, emotional, touching, chillout, feeling, emotion, spherical, sphere, love, contemplative, gentle
Albumleaf in E major.m4a.mp3;95;B major;45 - 75;Calm : 0.89, Chilled : 0.83, Romantic : 0.82, Sad : 0.74, Spherical : 0.43, Dark : 0.28, Happy : 0.14, Epic : 0.07, Sexy : 0.05, Scary : 0.04, Energetic : 0.02, Aggressive : 0.01, Uplifting : 0.01;calm, chilled, romantic, sad;-0.57;-0.81;low;negative;low;low;calm, chilled, moderate, chillout, tender, smooth, romantic, soft, relaxed, sentimental, feeling, touching, emotion, gentle, romance, love, easy, soulful, tranquil, contemplative
Ancient Airs and Dances, Suite No.1 - 3. Villanella (Anonymous).mp3;293;B minor;30 - 60;Sad : 0.71, Calm : 0.66, Dark : 0.56, Chilled : 0.55, Spherical : 0.54, Romantic : 0.52, Scary : 0.25, Epic : 0.20, Energetic : 0.06, Happy : 0.06, Aggressive : 0.05, Sexy : 0.02, Uplifting : 0.02;calm, chilled, dark, romantic, sad, spherical;-0.76;-0.55;low;negative;low;low;calm, chilled, moderate, spherical, sphere, tender, smooth, chillout, soft, sentimental, touching, feeling, contemplative, emotion, atmosphere, romantic, relaxed, sad, emotional, classical
12 Lieder von Franz Schubert, S. 558 - 2. Auf dem Wasser zu singen.mp3.mp3;306;G# minor;135 - 165;Sad : 0.62, Dark : 0.50, Romantic : 0.50, Calm : 0.44, Chilled : 0.41, Spherical : 0.32, Epic : 0.29, Scary : 0.21, Energetic : 0.17, Happy : 0.15, Aggressive : 0.05, Uplifting : 0.05, Sexy : 0.02;romantic, sad;-0.62;-0.27;medium;negative;medium;low;classical, calm, romantic, chilled, sad, moderate, sentimental, tender, emotional, touching, soft, feeling, smooth, love, emotion, spherical, sphere, chillout, romance, affecting
4 Sketches, Op. 15.mp3.mp3;299;F# major;60 - 90;Romantic : 0.84, Calm : 0.82, Chilled : 0.80, Sad : 0.68, Spherical : 0.34, Happy : 0.25, Dark : 0.21, Epic : 0.10, Energetic : 0.04, Sexy : 0.04, Scary : 0.03, Uplifting : 0.02, Aggressive : 0.01;calm, chilled, romantic, sad;-0.43;-0.78;low;negative;low;low;calm, chilled, romantic, moderate, tender, chillout, smooth, soft, love, relaxed, romance, sentimental, gentle, feeling, touching, emotion, emotional, soulful, easy, laid back
13 Preludes, Op. 32 - 12. Allegro (G♯ minor).mp3.mp3;164;G# minor;0 - 30;Sad : 0.72, Calm : 0.70, Romantic : 0.64, Chilled : 0.59, Dark : 0.48, Spherical : 0.41, Epic : 0.17, Scary : 0.16, Happy : 0.12, Energetic : 0.06, Aggressive : 0.03, Sexy : 0.02, Uplifting : 0.02;calm, chilled, romantic, sad;-0.68;-0.62;low;negative;low;low;calm, chilled, moderate, romantic, tender, classical, smooth, soft, chillout, sentimental, love, touching, feeling, emotional, gentle, romance, relaxed, emotion, sad, contemplative
4. Intermezzo in E major.mp3.mp3;246;E major;45 - 75;Calm : 0.86, Romantic : 0.80, Chilled : 0.78, Sad : 0.75, Spherical : 0.43, Dark : 0.30, Happy : 0.12, Epic : 0.11, Scary : 0.05, Sexy : 0.03, Energetic : 0.02, Aggressive : 0.01, Uplifting : 0.01;calm, chilled, romantic, sad;-0.62;-0.76;low;negative;low;low;calm, chilled, moderate, romantic, tender, chillout, smooth, soft, relaxed, sentimental, love, romance, gentle, feeling, touching, emotion, soulful, emotional, contemplative, easy
Caazapá (Aire Popular Paraguayo).mp3.mp3;247;G major;195 - 225;Romantic : 0.89, Chilled : 0.88, Calm : 0.85, Sad : 0.60, Happy : 0.41, Spherical : 0.34, Dark : 0.10, Epic : 0.08, Sexy : 0.06, Energetic : 0.03, Uplifting : 0.03, Aggressive : 0.01, Scary : 0.01;calm, chilled, romantic, sad;-0.16;-0.82;low;balanced;low;low;chilled, calm, chillout, tender, smooth, relaxed, soft, romantic, moderate, feeling, touching, easy, ambient, emotion, sentimental, love, romance, gentle, laid back, soulful
2 Legendes, S. 175 - I. St. Francois d' Assise, La predication aux oiseaux.flac.mp3;536;F# major;120 - 150;Dark : 0.67, Sad : 0.65, Calm : 0.54, Spherical : 0.53, Chilled : 0.49, Romantic : 0.39, Scary : 0.35, Epic : 0.13, Aggressive : 0.07, Energetic : 0.07, Happy : 0.06, Sexy : 0.03, Uplifting : 0.02;calm, dark, sad, spherical;-0.77;-0.45;low;negative;medium;low;calm, spherical, sphere, chilled, ambient, moderate, atmosphere, chillout, smooth, sentimental, soft, floating, tender, touching, feeling, contemplative, emotion, pensive, dark, relaxed
12 Concerti Grossi, Op. 6 - Concerto no. 4 Grosso in D major.mp3;615;D major;90 - 120;Romantic : 0.68, Chilled : 0.56, Sad : 0.52, Calm : 0.47, Happy : 0.35, Epic : 0.34, Spherical : 0.29, Dark : 0.17, Energetic : 0.17, Uplifting : 0.09, Scary : 0.05, Sexy : 0.03, Aggressive : 0.02;chilled, romantic, sad;-0.18;-0.28;medium;balanced;medium;medium;romantic, classical, calm, chilled, tender, love, moderate, romance, soft, emotional, chillout, smooth, sentimental, feeling, touching, gentle, emotion, relaxed, soulful, easy
2. Intermezzo in Am.mp3.mp3;202;A minor;150 - 180;Romantic : 0.75, Calm : 0.74, Chilled : 0.69, Sad : 0.69, Spherical : 0.36, Dark : 0.30, Happy : 0.18, Epic : 0.15, Energetic : 0.06, Scary : 0.06, Sexy : 0.03, Uplifting : 0.03, Aggressive : 0.02;calm, chilled, romantic, sad;-0.54;-0.67;low;negative;low;low;calm, chilled, romantic, moderate, tender, chillout, smooth, soft, relaxed, sentimental, love, feeling, touching, romance, emotion, gentle, emotional, soulful, contemplative, easy
3. Sehr aufgeregt.mp3.mp3;299;G minor;180 - 210;Sad : 0.61, Romantic : 0.51, Calm : 0.48, Dark : 0.48, Chilled : 0.47, Spherical : 0.34, Epic : 0.20, Happy : 0.18, Scary : 0.16, Energetic : 0.13, Uplifting : 0.05, Aggressive : 0.04, Sexy : 0.03;romantic, sad;-0.55;-0.35;low;negative;medium;medium;classical, calm, chilled, moderate, romantic, tender, sentimental, sad, soft, emotional, smooth, chillout, touching, feeling, love, emotion, gentle, romance, spherical, sphere
12 Concerti Grossi, Op. 6 - Concerto no. 3 Grosso in c minor.mp3;695;C minor;225 - 255;Epic : 0.59, Sad : 0.53, Dark : 0.46, Romantic : 0.35, Energetic : 0.34, Spherical : 0.30, Calm : 0.24, Scary : 0.24, Chilled : 0.23, Happy : 0.12, Uplifting : 0.12, Aggressive : 0.07, Sexy : 0.01;epic, sad;-0.53;0.10;variable;negative;high;medium;classical, epic, dark, sad, classical influence, scary, sinister, emotional, ominous, gloomy, spherical, sphere, calm, affecting, romantic, sentimental, atmosphere, touching, trailers and promos, feeling
4. Sehr langsam.mp3.mp3;222;Bb major;165 - 195;Calm : 0.87, Chilled : 0.80, Sad : 0.75, Romantic : 0.73, Spherical : 0.52, Dark : 0.36, Epic : 0.10, Happy : 0.08, Scary : 0.06, Sexy : 0.04, Energetic : 0.02, Aggressive : 0.01, Uplifting : 0.01;calm, chilled, romantic, sad, spherical;-0.65;-0.76;low;negative;low;low;calm, chilled, moderate, chillout, tender, smooth, soft, relaxed, romantic, sentimental, feeling, touching, emotion, gentle, contemplative, romance, love, soulful, spherical, sphere
6. Sehr langsam.mp3.mp3;221;Bb major;105 - 135;Calm : 0.73, Sad : 0.72, Chilled : 0.64, Romantic : 0.56, Dark : 0.55, Spherical : 0.51, Scary : 0.16, Epic : 0.12, Happy : 0.06, Energetic : 0.04, Sexy : 0.04, Aggressive : 0.03, Uplifting : 0.02;calm, chilled, dark, romantic, sad, spherical;-0.74;-0.64;low;negative;low;low;calm, chilled, moderate, chillout, tender, smooth, soft, sentimental, spherical, sphere, relaxed, touching, romantic, feeling, emotion, contemplative, gentle, emotional, floating, soulful
Brahms - String Quartet No.1 in C minor Op.51, No.1 - IV. Allegro (1).flac.mp3;382;C minor;30 - 60;Sad : 0.58, Epic : 0.54, Dark : 0.49, Romantic : 0.39, Spherical : 0.35, Calm : 0.27, Chilled : 0.27, Energetic : 0.26, Scary : 0.26, Happy : 0.13, Uplifting : 0.08, Aggressive : 0.06, Sexy : 0.02;epic, sad;-0.59;-0.01;medium;negative;medium;medium;classical, epic, sad, dark, classical influence, sinister, scary, emotional, calm, spherical, sphere, romantic, sentimental, atmosphere, affecting, gloomy, moderate, touching, ominous, feeling
Brahms - String Quartet No.1 in C minor Op.51, No.1 - IV. Allegro.flac.mp3;382;C minor;30 - 60;Sad : 0.58, Epic : 0.54, Dark : 0.49, Romantic : 0.39, Spherical : 0.35, Calm : 0.27, Chilled : 0.27, Energetic : 0.26, Scary : 0.26, Happy : 0.13, Uplifting : 0.08, Aggressive : 0.06, Sexy : 0.02;epic, sad;-0.59;-0.01;medium;negative;medium;medium;classical, epic, sad, dark, classical influence, sinister, scary, emotional, calm, spherical, sphere, romantic, sentimental, atmosphere, affecting, gloomy, moderate, touching, ominous, feeling
Air on the G String (from Orchestral Suite no. 3, BWV 1068).mp3;184;D major;30 - 60;Sad : 0.74, Calm : 0.64, Romantic : 0.63, Chilled : 0.50, Spherical : 0.46, Dark : 0.45, Epic : 0.44, Scary : 0.15, Happy : 0.08, Energetic : 0.07, Aggressive : 0.03, Uplifting : 0.02, Sexy : 0.01;calm, romantic, sad;-0.75;-0.55;low;negative;low;low;calm, chilled, moderate, romantic, tender, sentimental, soft, smooth, classical, sad, emotional, touching, feeling, chillout, love, emotion, spherical, sphere, romance, contemplative
1. Äußerst bewegt.mp3.mp3;163;D minor;90 - 120;Sad : 0.58, Romantic : 0.57, Chilled : 0.45, Calm : 0.44, Dark : 0.36, Epic : 0.31, Spherical : 0.27, Happy : 0.21, Energetic : 0.19, Scary : 0.14, Uplifting : 0.06, Aggressive : 0.04, Sexy : 0.03;romantic, sad;-0.47;-0.25;variable;negative;high;low;classical, calm, romantic, chilled, moderate, tender, emotional, love, sentimental, sad, romance, soft, touching, feeling, smooth, emotion, chillout, gentle, soulful, affecting
Berceuse in D-flat major, Op. 57 .m4a.mp3;257;Db major;180 - 210;Sad : 0.62, Romantic : 0.59, Calm : 0.55, Chilled : 0.53, Dark : 0.45, Spherical : 0.30, Happy : 0.19, Scary : 0.16, Epic : 0.15, Energetic : 0.10, Aggressive : 0.04, Uplifting : 0.04, Sexy : 0.03;calm, chilled, romantic, sad;-0.55;-0.45;low;negative;low;low;calm, chilled, romantic, classical, moderate, tender, soft, smooth, sentimental, chillout, love, emotional, touching, feeling, romance, emotion, gentle, relaxed, sad, soulful
Brahms - String Quartet No.1 in C minor Op.51, No.1 - III. Allegretto molto moderato.flac.mp3;469;F minor;405 - 435;Sad : 0.65, Dark : 0.49, Epic : 0.49, Romantic : 0.48, Calm : 0.40, Spherical : 0.37, Chilled : 0.35, Scary : 0.20, Energetic : 0.16, Happy : 0.11, Aggressive : 0.04, Uplifting : 0.04, Sexy : 0.01;sad;-0.68;-0.24;medium;negative;medium;low;classical, sad, calm, romantic, emotional, moderate, sentimental, chilled, tender, epic, spherical, sphere, touching, feeling, dark, affecting, emotion, love, soft, atmosphere
2 Rhapsodies, Op. 79 -  Rhapsody no. 2 in G minor.m4a.mp3;386;G minor;165 - 195;Dark : 0.61, Sad : 0.52, Epic : 0.46, Scary : 0.37, Energetic : 0.30, Spherical : 0.27, Romantic : 0.26, Calm : 0.17, Chilled : 0.16, Aggressive : 0.10, Happy : 0.10, Uplifting : 0.07, Sexy : 0.01;dark, sad;-0.67;0.13;medium;negative;low;low;classical, dark, scary, sinister, epic, ominous, sad, gloomy, classical influence, horror, menacing, super hero, threatening, action thriller, evil, trailers and promos, scare, daunting, scaring, dangerous
Ballade no. 3 in A flat major Op. 47.m4a.mp3;508;Ab major;30 - 60;Sad : 0.64, Romantic : 0.61, Calm : 0.55, Chilled : 0.51, Dark : 0.40, Spherical : 0.32, Epic : 0.27, Happy : 0.17, Scary : 0.14, Energetic : 0.13, Aggressive : 0.04, Uplifting : 0.04, Sexy : 0.02;calm, chilled, romantic, sad;-0.58;-0.42;low;negative;medium;low;calm, chilled, romantic, classical, moderate, tender, sentimental, soft, love, smooth, emotional, chillout, touching, feeling, romance, emotion, sad, gentle, relaxed, soulful
Ancient Airs and Dances, Suite No.1 - 1. Balletto detto 'Il conte Orlando' (Simone Molinaro).mp3;180;D major;15 - 45;Romantic : 0.72, Chilled : 0.60, Sad : 0.50, Calm : 0.48, Happy : 0.41, Epic : 0.31, Spherical : 0.27, Dark : 0.15, Energetic : 0.13, Uplifting : 0.08, Scary : 0.04, Sexy : 0.03, Aggressive : 0.01;chilled, romantic, sad;-0.11;-0.35;medium;balanced;low;medium;romantic, chilled, calm, classical, love, tender, romance, moderate, soft, chillout, smooth, emotional, sentimental, gentle, feeling, relaxed, touching, emotion, soulful, easy
Brahms - String Quartet No.1 in C minor Op.51, No.1 - II. Romanze Poco adagio.flac.mp3;430;Ab major;285 - 315;Sad : 0.74, Calm : 0.66, Dark : 0.63, Spherical : 0.57, Chilled : 0.52, Romantic : 0.48, Epic : 0.25, Scary : 0.23, Energetic : 0.05, Aggressive : 0.04, Happy : 0.04, Sexy : 0.02, Uplifting : 0.02;calm, chilled, dark, sad, spherical;-0.80;-0.57;low;negative;low;low;calm, moderate, chilled, classical, spherical, sphere, sad, tender, sentimental, smooth, soft, chillout, contemplative, atmosphere, touching, feeling, emotional, emotion, romantic, affecting
12 Violin Sonatas, Op. 5 no. 8 - III. Sarabande.flac.mp3;449;D major;225 - 255;Dark : 0.60, Sad : 0.57, Spherical : 0.44, Scary : 0.37, Romantic : 0.35, Calm : 0.34, Chilled : 0.33, Epic : 0.31, Energetic : 0.16, Happy : 0.16, Aggressive : 0.08, Uplifting : 0.06, Sexy : 0.02;dark, sad;-0.58;-0.18;medium;variable;low;high;classical, dark, spherical, sphere, scary, sad, calm, sinister, atmosphere, moderate, gloomy, emotional, chilled, affecting, sentimental, ominous, touching, classical influence, feeling, tender
Abdelazer, Z. 570.mp3;819;G minor;765 - 795;Romantic : 0.65, Sad : 0.60, Chilled : 0.51, Calm : 0.49, Epic : 0.42, Spherical : 0.34, Dark : 0.26, Happy : 0.24, Energetic : 0.14, Scary : 0.07, Uplifting : 0.06, Aggressive : 0.02, Sexy : 0.02;chilled, romantic, sad;-0.40;-0.35;medium;negative;medium;medium;calm, classical, romantic, chilled, tender, moderate, love, emotional, sentimental, soft, romance, smooth, feeling, touching, chillout, emotion, gentle, soulful, relaxed, sad
Ballade No. 2 in F Major, Op. 38.m4a.mp3;495;A minor;90 - 120;Sad : 0.61, Romantic : 0.54, Calm : 0.48, Chilled : 0.46, Dark : 0.38, Epic : 0.38, Spherical : 0.33, Energetic : 0.19, Scary : 0.15, Happy : 0.14, Uplifting : 0.07, Aggressive : 0.04, Sexy : 0.02;romantic, sad;-0.55;-0.28;variable;negative;high;low;calm, classical, chilled, romantic, moderate, tender, sentimental, emotional, soft, touching, feeling, smooth, sad, emotion, love, chillout, romance, soulful, gentle, spherical
Andante with variations in Fm, Hob. XVII_6.mp3.mp3;568;F minor;75 - 105;Romantic : 0.72, Chilled : 0.71, Calm : 0.70, Sad : 0.63, Spherical : 0.31, Dark : 0.27, Happy : 0.23, Epic : 0.10, Energetic : 0.06, Scary : 0.05, Sexy : 0.05, Uplifting : 0.03, Aggressive : 0.02;calm, chilled, romantic, sad;-0.44;-0.64;low;negative;low;low;calm, chilled, romantic, moderate, tender, chillout, smooth, soft, love, relaxed, romance, sentimental, gentle, feeling, classical, touching, emotion, emotional, soulful, easy
Ancient Airs and Dances, Suite No.1 - 2. Gagliarda (Vincenzo Galilei).mp3;229;D major;15 - 45;Romantic : 0.55, Sad : 0.46, Chilled : 0.43, Epic : 0.39, Happy : 0.35, Calm : 0.33, Energetic : 0.26, Spherical : 0.26, Dark : 0.20, Uplifting : 0.14, Scary : 0.06, Aggressive : 0.03, Sexy : 0.03;romantic, sad;-0.11;-0.07;medium;variable;medium;high;classical, romantic, chilled, calm, love, emotional, tender, romance, sentimental, moderate, feeling, soft, touching, emotion, smooth, gentle, chillout, soulful, classical influence, relaxed
3. Capriccio in G minor.mp3.mp3;188;G minor;15 - 45;Romantic : 0.70, Chilled : 0.62, Calm : 0.59, Sad : 0.59, Happy : 0.28, Spherical : 0.28, Dark : 0.23, Epic : 0.20, Energetic : 0.12, Scary : 0.06, Uplifting : 0.05, Sexy : 0.03, Aggressive : 0.02;calm, chilled, romantic, sad;-0.35;-0.47;low;negative;medium;low;calm, chilled, romantic, tender, moderate, love, classical, soft, smooth, chillout, romance, sentimental, relaxed, feeling, gentle, emotional, touching, emotion, soulful, easy
Années de pèlerinage III, S. 163 - IV. Les jeux d'eaux à la Villa d'Este.mp3.mp3;522;F# major;105 - 135;Sad : 0.70, Calm : 0.65, Chilled : 0.56, Romantic : 0.56, Dark : 0.54, Spherical : 0.44, Scary : 0.21, Epic : 0.17, Happy : 0.09, Energetic : 0.06, Aggressive : 0.04, Sexy : 0.03, Uplifting : 0.02;calm, chilled, dark, romantic, sad;-0.72;-0.55;low;negative;low;low;calm, chilled, moderate, tender, smooth, chillout, soft, romantic, sentimental, spherical, touching, sphere, feeling, emotion, classical, relaxed, contemplative, emotional, sad, gentle
12 Violin Sonatas, Op. 5 no. 8 - I. Preludio.flac.mp3;225;D minor;75 - 105;Dark : 0.62, Sad : 0.59, Spherical : 0.49, Calm : 0.39, Chilled : 0.37, Scary : 0.34, Romantic : 0.33, Epic : 0.27, Happy : 0.15, Energetic : 0.14, Aggressive : 0.06, Uplifting : 0.05, Sexy : 0.02;dark, sad;-0.59;-0.25;medium;variable;medium;high;classical, dark, spherical, sphere, calm, sad, atmosphere, moderate, chilled, sinister, scary, sentimental, affecting, emotional, gloomy, touching, feeling, tender, contemplative, soft
Ancient Airs and Dances, Suite No.1 - 4. Passo mezzo e mascherada (Anonymous).mp3;242;D major;60 - 90;Epic : 0.56, Energetic : 0.52, Sad : 0.35, Romantic : 0.32, Happy : 0.28, Uplifting : 0.25, Chilled : 0.21, Dark : 0.21, Spherical : 0.18, Calm : 0.12, Scary : 0.11, Aggressive : 0.09, Sexy : 0.03;energetic, epic;-0.07;0.40;high;balanced;medium;medium;classical, epic, classical influence, energetic, emotional, romantic, powerful, sad, affecting, monumental, energy, majestic, trailers and promos, passionate, love, touching, feeling, sentimental, emotion, film score
6. Intermezzo in E major.mp3.mp3;200;E major;90 - 120;Calm : 0.76, Sad : 0.73, Romantic : 0.69, Chilled : 0.65, Dark : 0.43, Spherical : 0.40, Epic : 0.15, Happy : 0.11, Scary : 0.11, Energetic : 0.04, Aggressive : 0.02, Sexy : 0.02, Uplifting : 0.02;calm, chilled, romantic, sad;-0.68;-0.69;low;negative;low;low;calm, chilled, moderate, romantic, tender, smooth, soft, chillout, sentimental, relaxed, love, touching, feeling, romance, gentle, emotion, emotional, classical, contemplative, soulful
Années de pèlerinage II, Supplément, S. 162 - 3. Tarantella da Guillaume Louis Cottrau.mp3.mp3;544;Eb major;390 - 420;Sad : 0.55, Romantic : 0.45, Calm : 0.40, Epic : 0.40, Chilled : 0.39, Dark : 0.38, Energetic : 0.30, Spherical : 0.30, Scary : 0.16, Happy : 0.15, Uplifting : 0.12, Aggressive : 0.06, Sexy : 0.03;sad;-0.48;-0.10;variable;negative;high;medium;classical, calm, romantic, chilled, sad, moderate, emotional, sentimental, tender, touching, feeling, emotion, soft, love, affecting, smooth, romance, spherical, sphere, soulful
2. Sehr inning und nicht zu rasch.mp3.mp3;563;Bb major;15 - 45;Romantic : 0.71, Calm : 0.69, Chilled : 0.67, Sad : 0.66, Spherical : 0.35, Dark : 0.29, Happy : 0.19, Epic : 0.18, Energetic : 0.09, Scary : 0.07, Uplifting : 0.04, Sexy : 0.03, Aggressive : 0.02;calm, chilled, romantic, sad;-0.51;-0.59;low;negative;medium;low;calm, chilled, romantic, moderate, tender, chillout, smooth, soft, love, sentimental, relaxed, romance, feeling, touching, gentle, emotion, emotional, soulful, classical, contemplative
Ballade no. 4 op. 52.mp3.mp3;845;Db major;420 - 450;Sad : 0.66, Dark : 0.60, Calm : 0.50, Romantic : 0.47, Chilled : 0.42, Spherical : 0.38, Epic : 0.28, Scary : 0.28, Energetic : 0.15, Happy : 0.08, Aggressive : 0.07, Uplifting : 0.04, Sexy : 0.02;calm, dark, sad;-0.74;-0.34;variable;negative;high;low;classical, calm, sad, moderate, chilled, sentimental, dark, romantic, spherical, emotional, sphere, tender, touching, soft, feeling, smooth, affecting, emotion, contemplative, chillout
Beethoven- Violin Sonata #5 in F major, Op. 24 - Complete.mp3.mp3;Track with id 2008622 status: FAILED, error: ERR_TRACK_TOO_LONG;;;;;;;;;;;
